x,y,theta,v_desired,omega_desired,v_safe,omega_safe
[0.48318447],[2.79498304],[-2.14989246],0.3359005854421019,3.1155866664111,-5.01141e-10,0.785398
[0.48318447],[2.79498304],[-1.99281282],0.21850782121894666,0.30678382543411686,-1.51128e-09,0.306784
[0.48318447],[2.79498305],[-1.93145606],0.2367137213690899,-0.4556133947168606,8.20676e-10,-0.455613
[0.48318447],[2.79498304],[-2.02257874],0.3469239191369055,-0.2559374390715736,1.24299e-09,-0.255937
[0.48318447],[2.79498304],[-2.07376623],0.05720101702829434,1.1401621397508332,-3.38954e-08,0.785398
[0.48318447],[2.79498305],[-1.91668659],0.3005574784692261,2.1023619243666998,3.91117e-08,0.785398
[0.48318447],[2.79498304],[-1.75960696],0.2471275390099478,2.86701600098666,3.08717e-11,0.785398
[0.48318447],[2.79498304],[-1.60252733],0.17846791562069964,1.554845388512959,-3.07517e-10,0.785398
[0.48318447],[2.79498304],[-1.44544769],0.48925151871068,0.8212886309255554,9.99482e-09,0.785398
[0.48318447],[2.79498304],[-1.28836806],0.5268845383346272,2.508533372362198,-1.62542e-10,0.785398
[0.48318447],[2.79498304],[-1.13128842],0.4587557270209507,-1.6796417339376057,0.455468,-0.785398
[0.52194426],[2.71254689],[-1.28836806],0.3954246324416471,-0.875895302347486,8.3051e-08,-0.785398
[0.52194426],[2.71254687],[-1.44544769],0.34392490683518845,1.89620228233973,-1.81545e-09,0.785398
[0.52194426],[2.71254687],[-1.28836806],0.3779189937333796,-2.3792000901996944,3.05569e-09,-0.785398
[0.52194426],[2.71254687],[-1.44544769],0.48839766638589954,0.38383918828471275,-6.60608e-10,0.383839
[0.52194426],[2.71254687],[-1.36867986],0.39970393305156987,-1.2210320918619295,7.02213e-11,-0.785398
[0.52194426],[2.71254687],[-1.52575949],0.10403110808776961,2.8851158392723866,-9.71944e-09,0.785398
[0.52194426],[2.71254687],[-1.36867986],0.3441840069086903,-1.2631664496641792,1.43143e-08,-0.785398
[0.52194426],[2.71254687],[-1.52575949],0.06778091595561316,-2.5545437614236812,-1.85629e-08,-0.785398
[0.52194426],[2.71254687],[-1.68283912],0.23782287320950368,0.08165931798093906,1.06145e-08,0.0816593
[0.52194426],[2.71254687],[-1.66650726],0.5046035089878248,0.9403227443077515,2.93189e-09,0.785398
[0.52194426],[2.71254687],[-1.50942763],0.04397654994796516,0.29392931027766256,-3.43198e-08,0.293929
[0.52194426],[2.71254688],[-1.45064177],0.5754126795449446,1.1915085958446188,4.11763e-08,0.785398
[0.52194426],[2.71254687],[-1.29356213],0.5067123093708854,1.7440499903583708,1.25856e-09,0.785398
[0.52194426],[2.71254687],[-1.1364825],0.23896441437269056,-0.5178062701201207,4.81349e-09,-0.517806
[0.52194426],[2.71254687],[-1.24004376],0.05619352851635357,-2.60221583570069,-2.05664e-08,-0.785398
[0.52194426],[2.71254687],[-1.39712339],0.013913057780085536,0.11204445565196952,-7.8895e-08,0.112044
[0.52194426],[2.71254689],[-1.3747145],0.3840212203603962,-0.57982730248359,9.35818e-08,-0.579827
[0.52194426],[2.71254687],[-1.49067996],0.2657748460309303,-2.671319140382746,-3.17432e-09,-0.785398
[0.52194426],[2.71254687],[-1.6477596],0.5744482260920655,2.291910867022878,1.92116e-09,0.785398
[0.52194426],[2.71254687],[-1.49067996],0.29138087287243336,0.5100373847673163,-1.34008e-09,0.510037
[0.52194426],[2.71254687],[-1.38867249],0.3092519444766476,2.1895235758208527,1.68955e-09,0.785398
[0.52194426],[2.71254687],[-1.23159285],0.2638408263593753,-3.0678294319657806,3.37825e-09,-0.785398
[0.52194426],[2.71254687],[-1.38867249],0.3992699901481678,-2.13983322346274,-8.49282e-10,-0.785398
[0.52194426],[2.71254687],[-1.54575212],0.3867935375039487,0.592429045302791,-1.09327e-09,0.592429
[0.52194426],[2.71254687],[-1.42726632],0.025150560920978893,0.9851118428504853,-8.43063e-08,0.785398
[0.52194426],[2.71254689],[-1.27018669],0.34164830236458477,3.010187002799735,1.58076e-07,0.785398
[0.52194427],[2.71254686],[-1.11310705],0.2959267127095292,-2.4101381047805446,2.01854e-08,-0.785398
[0.52194427],[2.71254685],[-1.27018669],0.12989748089508293,-1.8494846229689548,-1.13282e-08,-0.785398
[0.52194427],[2.71254685],[-1.42726632],0.13392280032660217,1.786976861852117,-2.79396e-09,0.785398
[0.52194427],[2.71254685],[-1.27018669],0.1969553704589387,1.438603858297581,1.0723e-08,0.785398
[0.52194427],[2.71254685],[-1.11310705],0.4507251398929149,0.43459366851128767,3.98691e-08,0.434594
[0.52194428],[2.71254685],[-1.02618831],0.48628381467305126,-2.0173632940268984,0.486284,-0.785398
[0.57233134],[2.62936018],[-1.18326795],0.1549369146689288,-2.7389617331130074,0.0272797,-0.785398
